UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.890000, 3, -81, 20.770000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 0.890000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 1.890000, 3, -96, 19.360001, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.890000, 3, -82, 20.350000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 2.890000, 3, -95, 18.420000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.890000, 3, -83, 20.219999, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 3.890000, 3, -96, 18.150000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.890000, 3, -83, 20.110001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 4.890000, 3, -95, 17.590000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.890000, 3, -83, 20.000000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 5.890000, 3, -95, 17.160000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.890000, 3, -82, 19.670000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 6.890000, 3, -95, 16.820000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.890000, 3, -81, 19.100000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 7.890000, 3, -95, 16.540001, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.890000, 3, -81, 18.610001, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 8.890000, 3, -95, 16.309999, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.890000, 3, -82, 18.420000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 9.890000, 3, -95, 16.120001, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.890000, 3, -82, 18.250000, 5, 8
