UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 0.030000, 3, -93, 9.040000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.030000, 3, -81, 13.300000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 1.030000, 3, -92, 9.160000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.030000, 3, -79, 13.060000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 2.030000, 3, -90, 8.940000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.030000, 3, -79, 12.850000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 3.030000, 3, -91, 8.920000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.030000, 3, -79, 12.670000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 4.030000, 3, -91, 8.900000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.030000, 3, -79, 12.520000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 5.030000, 3, -91, 8.890000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.030000, 3, -79, 12.380000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 6.030000, 3, -90, 8.720000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.030000, 3, -78, 12.060000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 7.030000, 3, -90, 8.580000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.030000, 3, -79, 11.980000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 8.030000, 3, -91, 8.610000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.030000, 3, -80, 12.080000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 9.030000, 3, -90, 8.480000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.030000, 3, -78, 11.800000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 10.030000, 3, -90, 8.370000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 10.030000, 3, -78, 11.570000, 5, 8
