UUID, Major, Minor, Colour, Time, Proximity, RSSI, Accuracy, Distance From Beacon (Real World), txPower
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 0.430000, 3, -93, 8.040000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 0.430000, 3, -81, 14.530000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 1.430000, 3, -93, 9.960000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 1.430000, 3, -76, 13.280000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 2.430000, 3, -89, 8.400000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 2.430000, 3, -73, 11.420000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 3.430000, 3, -89, 7.850000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 3.430000, 3, -73, 10.130000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 4.430000, 3, -89, 7.570000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 4.430000, 3, -75, 9.610000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 5.430000, 3, -90, 7.610000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 5.430000, 3, -75, 9.170000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 6.420000, 3, -90, 7.630000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 6.430000, 3, -75, 8.810000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 7.430000, 3, -75, 8.510000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 7.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 8.430000, 3, -75, 8.250000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 8.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 9.430000, 3, -78, 8.440000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 9.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 10.430000, 3, -81, 8.930000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 10.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 11.430000, 3, -94, 8.220000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 11.430000, 3, -81, 9.400000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 12.430000, 3, -81, 9.860000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 12.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 13.430000, 3, -95, 10.050000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 13.430000, 3, -81, 10.290000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 14.430000, 3, -80, 10.560000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 14.430000, 3, -95, 11.200000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 15.430000, 3, -81, 10.950000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 15.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 16.430000, 3, -80, 11.160000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 16.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 17.430000, 3, -79, 11.180000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 17.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 18.430000, 3, -80, 11.370000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 18.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 19.430000, 3, -91, 10.470000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 19.430000, 3, -80, 11.530000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 20.430000, 3, -93, 10.820000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 20.430000, 3, -79, 11.510000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 21.420000, 3, -79, 11.500000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 21.430000, 3, -95, 11.730000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 22.420000, 3, -78, 11.300000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 22.420000, 3, -94, 11.990000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 23.430000, 3, -79, 11.300000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 23.430000, 3, -92, 11.530000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 24.430000, 3, -90, 10.610000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 24.430000, 3, -79, 11.310000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 25.430000, 3, -95, 11.110000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 25.430000, 3, -79, 11.320000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 26.430000, 3, -79, 11.320000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 26.430000, 0, 0, -1.000000, 5, 4
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 15295, 49236, purple, 27.430000, 3, -78, 11.150000, 5, 8
B9407F30-F5F8-466E-AFF9-25556B57FE6D, 23491, 36886, blue, 27.430000, 3, -99, 12.110000, 5, 4
